district,price_m2,year
madrid,13.4,2008
barajas,9.4,2013
carabanchel,8.3,2013
centro,12.4,2013
chamartín,11.7,2013
chamberí,12.3,2013
ciudad lineal,9.7,2013
fuencarral,9.6,2013
hortaleza,10.0,2013
latina,8.4,2013
moncloa,10.7,2013
moratalaz,8.0,2013
puente de vallecas,8.0,2013
retiro,11.1,2013
salamanca,12.8,2013
san blas,8.5,2013
tetuán,10.7,2013
usera,7.9,2013
vicálvaro,7.7,2013
villa de vallecas,8.1,2013
villaverde,7.4,2013
arganzuela,10.0,2013
madrid,10.8,2013
