district,price_m2,year,price_m2_ref,ratio_reference
puente de vallecas,10.6,2017,10.7,0.9906542056074766
puente de vallecas,10.7,2007,10.7,1.0
puente de vallecas,11.3,2008,10.7,1.0560747663551404
puente de vallecas,8.0,2013,10.7,0.7476635514018692
retiro,12.9,2009,13.6,0.948529411764706
retiro,12.1,2010,13.6,0.8897058823529411
retiro,12.8,2011,13.6,0.9411764705882354
retiro,12.3,2012,13.6,0.9044117647058825
retiro,11.7,2014,13.6,0.8602941176470588
retiro,11.7,2015,13.6,0.8602941176470588
retiro,14.6,2016,13.6,1.0735294117647058
retiro,15.0,2017,13.6,1.1029411764705883
retiro,13.6,2007,13.6,1.0
retiro,14.1,2008,13.6,1.036764705882353
retiro,11.1,2013,13.6,0.8161764705882353
salamanca,14.8,2009,14.8,1.0
salamanca,14.5,2010,14.8,0.9797297297297297
salamanca,14.3,2011,14.8,0.9662162162162162
salamanca,13.7,2012,14.8,0.9256756756756755
salamanca,13.5,2014,14.8,0.9121621621621622
salamanca,13.8,2015,14.8,0.9324324324324325
salamanca,16.1,2016,14.8,1.087837837837838
salamanca,18.0,2017,14.8,1.2162162162162162
salamanca,14.8,2007,14.8,1.0
salamanca,16.2,2008,14.8,1.0945945945945945
salamanca,12.8,2013,14.8,0.8648648648648649
san blas,10.3,2009,10.9,0.944954128440367
san blas,10.0,2010,10.9,0.9174311926605504
san blas,10.1,2011,10.9,0.9266055045871558
san blas,9.6,2012,10.9,0.8807339449541284
san blas,9.2,2014,10.9,0.8440366972477064
san blas,9.2,2015,10.9,0.8440366972477064
san blas,10.1,2016,10.9,0.9266055045871558
san blas,11.5,2017,10.9,1.055045871559633
san blas,10.9,2007,10.9,1.0
san blas,12.0,2008,10.9,1.1009174311926606
san blas,8.5,2013,10.9,0.7798165137614679
tetuán,12.5,2009,12.6,0.9920634920634921
tetuán,11.9,2010,12.6,0.9444444444444445
tetuán,11.8,2011,12.6,0.9365079365079366
tetuán,11.5,2012,12.6,0.9126984126984127
tetuán,11.1,2014,12.6,0.8809523809523809
tetuán,11.3,2015,12.6,0.8968253968253969
tetuán,13.9,2016,12.6,1.1031746031746033
tetuán,14.9,2017,12.6,1.1825396825396826
tetuán,12.6,2007,12.6,1.0
tetuán,13.3,2008,12.6,1.0555555555555556
tetuán,10.7,2013,12.6,0.8492063492063492
usera,9.5,2009,9.7,0.9793814432989691
usera,9.1,2010,9.7,0.9381443298969072
usera,8.8,2011,9.7,0.9072164948453609
usera,8.4,2012,9.7,0.8659793814432991
usera,8.4,2014,9.7,0.8659793814432991
usera,8.4,2015,9.7,0.8659793814432991
usera,9.8,2016,9.7,1.0103092783505156
usera,10.8,2017,9.7,1.1134020618556704
usera,9.7,2007,9.7,1.0
usera,11.0,2008,9.7,1.1340206185567012
usera,7.9,2013,9.7,0.8144329896907218
villa de vallecas,9.5,2009,9.7,0.9793814432989691
villa de vallecas,9.4,2010,9.7,0.9690721649484537
villa de vallecas,9.0,2011,9.7,0.9278350515463918
villa de vallecas,8.7,2012,9.7,0.8969072164948454
villa de vallecas,8.5,2014,9.7,0.8762886597938145
villa de vallecas,8.7,2015,9.7,0.8969072164948454
villa de vallecas,9.1,2016,9.7,0.9381443298969072
villa de vallecas,9.7,2017,9.7,1.0
villa de vallecas,9.7,2007,9.7,1.0
villa de vallecas,10.4,2008,9.7,1.0721649484536084
villa de vallecas,8.1,2013,9.7,0.8350515463917526
villaverde,9.2,2009,7.0,1.3142857142857143
villaverde,8.9,2010,7.0,1.2714285714285716
villaverde,8.5,2011,7.0,1.2142857142857142
villaverde,8.6,2012,7.0,1.2285714285714284
villaverde,7.6,2014,7.0,1.0857142857142856
villaverde,7.8,2015,7.0,1.1142857142857143
villaverde,8.4,2016,7.0,1.2
villaverde,10.0,2017,7.0,1.4285714285714286
villaverde,7.0,2007,7.0,1.0
villaverde,10.3,2008,7.0,1.4714285714285715
villaverde,7.4,2013,7.0,1.0571428571428572
arganzuela,11.9,2009,12.3,0.9674796747967479
arganzuela,11.6,2010,12.3,0.9430894308943089
arganzuela,11.4,2011,12.3,0.9268292682926829
arganzuela,10.9,2012,12.3,0.8861788617886178
arganzuela,10.8,2014,12.3,0.8780487804878049
arganzuela,11.0,2015,12.3,0.8943089430894309
arganzuela,13.4,2016,12.3,1.089430894308943
arganzuela,14.7,2017,12.3,1.1951219512195121
arganzuela,12.3,2007,12.3,1.0
arganzuela,12.7,2008,12.3,1.032520325203252
arganzuela,10.0,2013,12.3,0.8130081300813008
madrid,11.6,2012,13.0,0.8923076923076922
madrid,11.3,2014,13.0,0.8692307692307693
madrid,11.4,2015,13.0,0.8769230769230769
madrid,13.8,2016,13.0,1.0615384615384615
madrid,15.3,2017,13.0,1.176923076923077
madrid,13.0,2007,13.0,1.0
madrid,13.4,2008,13.0,1.0307692307692309
madrid,10.8,2013,13.0,0.8307692307692308
