district,price_m2,year,price_m2_ref,ratio_reference
Moratalaz,2554,2011,3558,0.7178189994378864
Moratalaz,2243,2012,3558,0.6304103428892637
Moratalaz,2004,2013,3558,0.5632377740303541
Puente de Vallecas,1456,2014,3251,0.4478621962473085
Puente de Vallecas,1396,2015,3251,0.4294063365118425
Puente de Vallecas,1400,2016,3251,0.4306367271608736
Puente de Vallecas,1518,2017,3251,0.4669332513072901
Puente de Vallecas,3251,2007,3251,1.0
Puente de Vallecas,2926,2008,3251,0.9000307597662258
Puente de Vallecas,2556,2009,3251,0.786219624730852
Puente de Vallecas,2452,2010,3251,0.7542294678560443
Puente de Vallecas,2095,2011,3251,0.6444171024300215
Puente de Vallecas,1735,2012,3251,0.5336819440172255
Puente de Vallecas,1581,2013,3251,0.4863119040295294
Retiro,3365,2014,4724,0.7123200677392041
Retiro,3274,2015,4724,0.6930567315834039
Retiro,3689,2016,4724,0.7809060118543607
Retiro,4138,2017,4724,0.8759525825571549
Retiro,4724,2007,4724,1.0
Retiro,4612,2008,4724,0.9762912785774767
Retiro,4477,2009,4724,0.9477138018628282
Retiro,4480,2010,4724,0.9483488569009314
Retiro,4381,2011,4724,0.9273920406435224
Retiro,3861,2012,4724,0.81731583403895
Retiro,3595,2013,4724,0.7610076206604572
Salamanca,4134,2014,5435,0.7606255749770009
Salamanca,4138,2015,5435,0.7613615455381785
Salamanca,4613,2016,5435,0.8487580496780128
Salamanca,5252,2017,5435,0.9663293468261269
Salamanca,5435,2007,5435,1.0
Salamanca,5525,2008,5435,1.016559337626495
Salamanca,5259,2009,5435,0.9676172953081876
Salamanca,5203,2010,5435,0.957313707451702
Salamanca,4937,2011,5435,0.9083716651333946
Salamanca,4595,2012,5435,0.8454461821527139
Salamanca,4336,2013,5435,0.7977920883164673
San Blas - Canillejas,2015,2014,3627,0.5555555555555556
San Blas - Canillejas,1983,2015,3627,0.5467328370554178
San Blas - Canillejas,2128,2016,3627,0.5867107802591673
San Blas - Canillejas,2365,2017,3627,0.6520540391508134
San Blas - Canillejas,3627,2007,3627,1.0
San Blas - Canillejas,3360,2008,3627,0.9263854425144747
San Blas - Canillejas,3131,2009,3627,0.8632478632478633
San Blas - Canillejas,3044,2010,3627,0.8392610973256135
San Blas - Canillejas,2790,2011,3627,0.7692307692307693
San Blas - Canillejas,2453,2012,3627,0.6763165150261925
San Blas - Canillejas,2201,2013,3627,0.6068376068376068
Tetuán,2567,2014,4192,0.6123568702290076
Tetuán,2545,2015,4192,0.6071087786259542
Tetuán,2753,2016,4192,0.6567270992366412
Tetuán,3073,2017,4192,0.7330629770992366
Tetuán,4192,2007,4192,1.0
Tetuán,3999,2008,4192,0.9539599236641222
Tetuán,3720,2009,4192,0.8874045801526718
Tetuán,3686,2010,4192,0.879293893129771
Tetuán,3423,2011,4192,0.8165553435114504
Tetuán,3014,2012,4192,0.7189885496183206
Tetuán,2727,2013,4192,0.6505248091603053
Usera,1475,2014,3229,0.45679777020749457
Usera,1470,2015,3229,0.4552493031898421
Usera,1483,2016,3229,0.45927531743573863
Usera,1658,2017,3229,0.5134716630535769
Usera,3229,2007,3229,1.0
Usera,2979,2008,3229,0.9225766491173738
Usera,2641,2009,3229,0.8179002787240631
Usera,2527,2010,3229,0.7825952307215857
Usera,2160,2011,3229,0.6689377516258904
Usera,1860,2012,3229,0.5760297305667389
Usera,1652,2013,3229,0.5116135026323939
Villa de Vallecas,1988,2014,3359,0.5918428103602262
Villa de Vallecas,1914,2015,3359,0.5698124441798155
Villa de Vallecas,1973,2016,3359,0.5873771955939268
Villa de Vallecas,2121,2017,3359,0.6314379279547484
Villa de Vallecas,3359,2007,3359,1.0
Villa de Vallecas,3027,2008,3359,0.9011610598392379
Villa de Vallecas,2798,2009,3359,0.8329860077403989
Villa de Vallecas,2733,2010,3359,0.8136350104197678
Villa de Vallecas,2561,2011,3359,0.7624292944328669
Villa de Vallecas,2313,2012,3359,0.688597796963382
Villa de Vallecas,2102,2013,3359,0.6257814825841024
Villaverde,1218,2014,3037,0.40105367138623643
Villaverde,1239,2015,3037,0.4079683898584129
Villaverde,1348,2016,3037,0.44385907145209086
Villaverde,1446,2017,3037,0.4761277576555812
Villaverde,3037,2007,3037,1.0
Villaverde,2677,2008,3037,0.881461969048403
Villaverde,2448,2009,3037,0.8060586104708594
Villaverde,2356,2010,3037,0.7757655581165624
Villaverde,1993,2011,3037,0.6562397102403688
Villaverde,1626,2012,3037,0.5353967731313797
Villaverde,1479,2013,3037,0.48699374382614424
Arganzuela,2638,2014,4185,0.6303464755077658
Arganzuela,2653,2015,4185,0.6339307048984468
Arganzuela,2925,2016,4185,0.6989247311827957
Arganzuela,3293,2017,4185,0.7868578255675029
Arganzuela,4185,2007,4185,1.0
Arganzuela,3876,2008,4185,0.9261648745519713
Arganzuela,3628,2009,4185,0.866905615292712
Arganzuela,3577,2010,4185,0.8547192353643966
Arganzuela,3339,2011,4185,0.7978494623655914
Arganzuela,2984,2012,4185,0.7130227001194743
Arganzuela,2731,2013,4185,0.652568697729988
madrid,2702,2014,4277,0.6317512274959084
madrid,2694,2015,4277,0.629880757540332
madrid,2902,2016,4277,0.6785129763853168
madrid,3160,2017,4277,0.7388356324526537
madrid,4277,2007,4277,1.0
madrid,4106,2008,4277,0.9600187046995557
madrid,3905,2009,4277,0.9130231470657002
madrid,3848,2010,4277,0.8996960486322189
madrid,3553,2011,4277,0.8307224690203414
madrid,3292,2012,4277,0.7696983867196633
madrid,3087,2013,4277,0.7217675941080196
