district,price_m2,year
centro,3298,2013
chamartín,4016,2013
chamberí,3763,2013
ciudad lineal,2740,2013
fuencarral,2893,2013
hortaleza,3047,2013
latina,1846,2013
moncloa,3310,2013
moratalaz,2004,2013
puente de vallecas,1581,2013
retiro,3595,2013
salamanca,4336,2013
san blas,2201,2013
tetuán,2727,2013
usera,1652,2013
vicálvaro,1849,2013
villa de vallecas,2102,2013
villaverde,1479,2013
arganzuela,2731,2013
madrid,3087,2013
