,spanish_men,spanish_women,spanish_total,foreign_men,foreign_women,foreign_total,men_total,women_total,total,district,date,year
No Consta,1,0,1,0,0,0,1,0,1,VICALVARO / TODOS,01-01-2005,2005
Total,64056,69284,133340,8819,7750,16569,72875,77034,149909,SAN BLAS-CANILLEJAS / TODOS,01-01-2005,2005
0 - 4,3980,3688,7668,328,324,652,4308,4012,8320,SAN BLAS-CANILLEJAS / TODOS,01-01-2005,2005
5 - 9,3088,2896,5984,379,408,787,3467,3304,6771,SAN BLAS-CANILLEJAS / TODOS,01-01-2005,2005
10 - 14,2907,2778,5685,390,403,793,3297,3181,6478,SAN BLAS-CANILLEJAS / TODOS,01-01-2005,2005
15 - 19,3071,2922,5993,420,401,821,3491,3323,6814,SAN BLAS-CANILLEJAS / TODOS,01-01-2005,2005
20 - 24,3499,3194,6693,985,921,1906,4484,4115,8599,SAN BLAS-CANILLEJAS / TODOS,01-01-2005,2005
25 - 29,4338,4277,8615,1647,1314,2961,5985,5591,11576,SAN BLAS-CANILLEJAS / TODOS,01-01-2005,2005
30 - 34,5928,5954,11882,1499,1157,2656,7427,7111,14538,SAN BLAS-CANILLEJAS / TODOS,01-01-2005,2005
35 - 39,6750,6531,13281,1236,940,2176,7986,7471,15457,SAN BLAS-CANILLEJAS / TODOS,01-01-2005,2005
40 - 44,5980,5962,11942,773,687,1460,6753,6649,13402,SAN BLAS-CANILLEJAS / TODOS,01-01-2005,2005
45 - 49,4638,4661,9299,502,436,938,5140,5097,10237,SAN BLAS-CANILLEJAS / TODOS,01-01-2005,2005
50 - 54,3332,3493,6825,322,321,643,3654,3814,7468,SAN BLAS-CANILLEJAS / TODOS,01-01-2005,2005
55 - 59,3024,3312,6336,164,186,350,3188,3498,6686,SAN BLAS-CANILLEJAS / TODOS,01-01-2005,2005
60 - 64,2667,3171,5838,63,90,153,2730,3261,5991,SAN BLAS-CANILLEJAS / TODOS,01-01-2005,2005
65 - 69,2727,3801,6528,47,66,113,2774,3867,6641,SAN BLAS-CANILLEJAS / TODOS,01-01-2005,2005
70 - 74,3503,4611,8114,27,48,75,3530,4659,8189,SAN BLAS-CANILLEJAS / TODOS,01-01-2005,2005
75 - 79,2557,3861,6418,18,31,49,2575,3892,6467,SAN BLAS-CANILLEJAS / TODOS,01-01-2005,2005
80 - 84,1414,2525,3939,9,5,14,1423,2530,3953,SAN BLAS-CANILLEJAS / TODOS,01-01-2005,2005
85 - 89,460,1038,1498,5,7,12,465,1045,1510,SAN BLAS-CANILLEJAS / TODOS,01-01-2005,2005
90 - 94,170,480,650,1,2,3,171,482,653,SAN BLAS-CANILLEJAS / TODOS,01-01-2005,2005
95 - 99,18,107,125,2,0,2,20,107,127,SAN BLAS-CANILLEJAS / TODOS,01-01-2005,2005
100 o más,5,20,25,0,0,0,5,20,25,SAN BLAS-CANILLEJAS / TODOS,01-01-2005,2005
No Consta,0,2,2,2,3,5,2,5,7,SAN BLAS-CANILLEJAS / TODOS,01-01-2005,2005
Total,18839,19196,38035,2163,2276,4439,21002,21472,42474,BARAJAS / TODOS,01-01-2005,2005
0 - 4,1189,1081,2270,102,99,201,1291,1180,2471,BARAJAS / TODOS,01-01-2005,2005
5 - 9,921,847,1768,103,112,215,1024,959,1983,BARAJAS / TODOS,01-01-2005,2005
10 - 14,830,783,1613,100,113,213,930,896,1826,BARAJAS / TODOS,01-01-2005,2005
15 - 19,935,897,1832,114,140,254,1049,1037,2086,BARAJAS / TODOS,01-01-2005,2005
20 - 24,1316,1167,2483,214,217,431,1530,1384,2914,BARAJAS / TODOS,01-01-2005,2005
25 - 29,1809,1625,3434,303,346,649,2112,1971,4083,BARAJAS / TODOS,01-01-2005,2005
30 - 34,1914,1950,3864,325,339,664,2239,2289,4528,BARAJAS / TODOS,01-01-2005,2005
35 - 39,1669,1697,3366,304,269,573,1973,1966,3939,BARAJAS / TODOS,01-01-2005,2005
40 - 44,1479,1500,2979,233,224,457,1712,1724,3436,BARAJAS / TODOS,01-01-2005,2005
45 - 49,1266,1230,2496,131,151,282,1397,1381,2778,BARAJAS / TODOS,01-01-2005,2005
50 - 54,1076,1387,2463,102,99,201,1178,1486,2664,BARAJAS / TODOS,01-01-2005,2005
55 - 59,1323,1486,2809,54,59,113,1377,1545,2922,BARAJAS / TODOS,01-01-2005,2005
60 - 64,1085,1117,2202,30,40,70,1115,1157,2272,BARAJAS / TODOS,01-01-2005,2005
65 - 69,749,671,1420,19,19,38,768,690,1458,BARAJAS / TODOS,01-01-2005,2005
70 - 74,559,598,1157,11,14,25,570,612,1182,BARAJAS / TODOS,01-01-2005,2005
75 - 79,362,491,853,6,15,21,368,506,874,BARAJAS / TODOS,01-01-2005,2005
80 - 84,243,360,603,8,9,17,251,369,620,BARAJAS / TODOS,01-01-2005,2005
85 - 89,81,199,280,2,6,8,83,205,288,BARAJAS / TODOS,01-01-2005,2005
90 - 94,22,79,101,1,3,4,23,82,105,BARAJAS / TODOS,01-01-2005,2005
95 - 99,10,28,38,1,2,3,11,30,41,BARAJAS / TODOS,01-01-2005,2005
100 o más,1,3,4,0,0,0,1,3,4,BARAJAS / TODOS,01-01-2005,2005
Total,49979,57322,107301,25144,20968,46112,75123,78290,153413,CENTRO / TODOS,01-01-2006,2006
0 - 4,1891,1787,3678,863,864,1727,2754,2651,5405,CENTRO / TODOS,01-01-2006,2006
5 - 9,1502,1495,2997,731,712,1443,2233,2207,4440,CENTRO / TODOS,01-01-2006,2006
10 - 14,1347,1262,2609,764,673,1437,2111,1935,4046,CENTRO / TODOS,01-01-2006,2006
15 - 19,1507,1418,2925,925,778,1703,2432,2196,4628,CENTRO / TODOS,01-01-2006,2006
20 - 24,2099,2033,4132,2152,1962,4114,4251,3995,8246,CENTRO / TODOS,01-01-2006,2006
25 - 29,4066,3986,8052,4577,3769,8346,8643,7755,16398,CENTRO / TODOS,01-01-2006,2006
30 - 34,5836,5485,11321,5076,3681,8757,10912,9166,20078,CENTRO / TODOS,01-01-2006,2006
35 - 39,5414,4737,10151,3837,2746,6583,9251,7483,16734,CENTRO / TODOS,01-01-2006,2006
40 - 44,4890,4494,9384,2575,1926,4501,7465,6420,13885,CENTRO / TODOS,01-01-2006,2006
45 - 49,4104,4205,8309,1589,1350,2939,5693,5555,11248,CENTRO / TODOS,01-01-2006,2006
50 - 54,3323,3671,6994,872,935,1807,4195,4606,8801,CENTRO / TODOS,01-01-2006,2006
55 - 59,3019,3252,6271,519,619,1138,3538,3871,7409,CENTRO / TODOS,01-01-2006,2006
60 - 64,2569,2963,5532,266,344,610,2835,3307,6142,CENTRO / TODOS,01-01-2006,2006
65 - 69,2077,2818,4895,165,230,395,2242,3048,5290,CENTRO / TODOS,01-01-2006,2006
70 - 74,2094,3397,5491,110,173,283,2204,3570,5774,CENTRO / TODOS,01-01-2006,2006
75 - 79,1997,3633,5630,62,94,156,2059,3727,5786,CENTRO / TODOS,01-01-2006,2006
80 - 84,1326,3219,4545,32,65,97,1358,3284,4642,CENTRO / TODOS,01-01-2006,2006
85 - 89,591,2119,2710,13,20,33,604,2139,2743,CENTRO / TODOS,01-01-2006,2006
90 - 94,249,1029,1278,4,14,18,253,1043,1296,CENTRO / TODOS,01-01-2006,2006
95 - 99,65,272,337,4,3,7,69,275,344,CENTRO / TODOS,01-01-2006,2006
100 o más,8,44,52,1,2,3,9,46,55,CENTRO / TODOS,01-01-2006,2006
No Consta,5,3,8,7,8,15,12,11,23,CENTRO / TODOS,01-01-2006,2006
Total,56976,67362,124338,12941,13501,26442,69917,80863,150780,ARGANZUELA / TODOS,01-01-2006,2006
0 - 4,2963,2730,5693,529,526,1055,3492,3256,6748,ARGANZUELA / TODOS,01-01-2006,2006
5 - 9,2583,2466,5049,499,522,1021,3082,2988,6070,ARGANZUELA / TODOS,01-01-2006,2006
10 - 14,2375,2240,4615,585,548,1133,2960,2788,5748,ARGANZUELA / TODOS,01-01-2006,2006
15 - 19,2461,2460,4921,588,611,1199,3049,3071,6120,ARGANZUELA / TODOS,01-01-2006,2006
20 - 24,3359,3085,6444,1296,1421,2717,4655,4506,9161,ARGANZUELA / TODOS,01-01-2006,2006
25 - 29,4193,4015,8208,2217,2378,4595,6410,6393,12803,ARGANZUELA / TODOS,01-01-2006,2006
30 - 34,4641,5094,9735,2343,2122,4465,6984,7216,14200,ARGANZUELA / TODOS,01-01-2006,2006
35 - 39,5159,5335,10494,1725,1682,3407,6884,7017,13901,ARGANZUELA / TODOS,01-01-2006,2006
40 - 44,5130,5693,10823,1293,1302,2595,6423,6995,13418,ARGANZUELA / TODOS,01-01-2006,2006
45 - 49,4715,5597,10312,864,871,1735,5579,6468,12047,ARGANZUELA / TODOS,01-01-2006,2006
50 - 54,4126,4933,9059,474,579,1053,4600,5512,10112,ARGANZUELA / TODOS,01-01-2006,2006
55 - 59,3533,4139,7672,210,366,576,3743,4505,8248,ARGANZUELA / TODOS,01-01-2006,2006
60 - 64,2728,3517,6245,118,192,310,2846,3709,6555,ARGANZUELA / TODOS,01-01-2006,2006
65 - 69,2201,3132,5333,70,158,228,2271,3290,5561,ARGANZUELA / TODOS,01-01-2006,2006
70 - 74,2442,3642,6084,56,114,170,2498,3756,6254,ARGANZUELA / TODOS,01-01-2006,2006
75 - 79,2030,3511,5541,33,54,87,2063,3565,5628,ARGANZUELA / TODOS,01-01-2006,2006
80 - 84,1353,2868,4221,23,34,57,1376,2902,4278,ARGANZUELA / TODOS,01-01-2006,2006
85 - 89,660,1820,2480,9,12,21,669,1832,2501,ARGANZUELA / TODOS,01-01-2006,2006
90 - 94,264,835,1099,0,4,4,264,839,1103,ARGANZUELA / TODOS,01-01-2006,2006
95 - 99,54,222,276,3,1,4,57,223,280,ARGANZUELA / TODOS,01-01-2006,2006
100 o más,3,26,29,0,0,0,3,26,29,ARGANZUELA / TODOS,01-01-2006,2006
No Consta,3,2,5,6,4,10,9,6,15,ARGANZUELA / TODOS,01-01-2006,2006
Total,52051,62008,114059,5817,7326,13143,57868,69334,127202,RETIRO / TODOS,01-01-2006,2006
0 - 4,2336,2223,4559,185,180,365,2521,2403,4924,RETIRO / TODOS,01-01-2006,2006
5 - 9,2193,2054,4247,255,233,488,2448,2287,4735,RETIRO / TODOS,01-01-2006,2006
10 - 14,2169,2185,4354,233,254,487,2402,2439,4841,RETIRO / TODOS,01-01-2006,2006
15 - 19,2434,2389,4823,217,267,484,2651,2656,5307,RETIRO / TODOS,01-01-2006,2006
20 - 24,3259,3121,6380,477,687,1164,3736,3808,7544,RETIRO / TODOS,01-01-2006,2006
25 - 29,4236,4059,8295,973,1258,2231,5209,5317,10526,RETIRO / TODOS,01-01-2006,2006
30 - 34,4366,4191,8557,974,1207,2181,5340,5398,10738,RETIRO / TODOS,01-01-2006,2006
35 - 39,3871,4028,7899,838,934,1772,4709,4962,9671,RETIRO / TODOS,01-01-2006,2006
40 - 44,3862,4275,8137,559,677,1236,4421,4952,9373,RETIRO / TODOS,01-01-2006,2006
45 - 49,3580,4479,8059,398,533,931,3978,5012,8990,RETIRO / TODOS,01-01-2006,2006
50 - 54,3480,4609,8089,221,387,608,3701,4996,8697,RETIRO / TODOS,01-01-2006,2006
55 - 59,3543,4518,8061,163,229,392,3706,4747,8453,RETIRO / TODOS,01-01-2006,2006
60 - 64,3265,3969,7234,105,162,267,3370,4131,7501,RETIRO / TODOS,01-01-2006,2006
65 - 69,2528,3380,5908,81,123,204,2609,3503,6112,RETIRO / TODOS,01-01-2006,2006
70 - 74,2491,3574,6065,57,63,120,2548,3637,6185,RETIRO / TODOS,01-01-2006,2006
75 - 79,2026,3499,5525,38,45,83,2064,3544,5608,RETIRO / TODOS,01-01-2006,2006
80 - 84,1404,2696,4100,20,38,58,1424,2734,4158,RETIRO / TODOS,01-01-2006,2006
85 - 89,688,1656,2344,7,24,31,695,1680,2375,RETIRO / TODOS,01-01-2006,2006
90 - 94,259,838,1097,7,15,22,266,853,1119,RETIRO / TODOS,01-01-2006,2006
95 - 99,49,229,278,4,4,8,53,233,286,RETIRO / TODOS,01-01-2006,2006
100 o más,11,34,45,2,3,5,13,37,50,RETIRO / TODOS,01-01-2006,2006
No Consta,1,2,3,3,3,6,4,5,9,RETIRO / TODOS,01-01-2006,2006
Total,57384,72944,130328,9891,13131,23022,67275,86075,153350,SALAMANCA / TODOS,01-01-2006,2006
0 - 4,2676,2583,5259,379,369,748,3055,2952,6007,SALAMANCA / TODOS,01-01-2006,2006
5 - 9,2414,2338,4752,356,334,690,2770,2672,5442,SALAMANCA / TODOS,01-01-2006,2006
10 - 14,2209,2135,4344,394,347,741,2603,2482,5085,SALAMANCA / TODOS,01-01-2006,2006
15 - 19,2521,2396,4917,465,390,855,2986,2786,5772,SALAMANCA / TODOS,01-01-2006,2006
20 - 24,3128,3141,6269,832,1122,1954,3960,4263,8223,SALAMANCA / TODOS,01-01-2006,2006
25 - 29,4342,4461,8803,1566,2260,3826,5908,6721,12629,SALAMANCA / TODOS,01-01-2006,2006
30 - 34,4990,5153,10143,1800,2216,4016,6790,7369,14159,SALAMANCA / TODOS,01-01-2006,2006
35 - 39,4609,4914,9523,1316,1673,2989,5925,6587,12512,SALAMANCA / TODOS,01-01-2006,2006
40 - 44,4478,5034,9512,932,1294,2226,5410,6328,11738,SALAMANCA / TODOS,01-01-2006,2006
45 - 49,4102,4994,9096,599,1049,1648,4701,6043,10744,SALAMANCA / TODOS,01-01-2006,2006
50 - 54,3640,4700,8340,420,739,1159,4060,5439,9499,SALAMANCA / TODOS,01-01-2006,2006
55 - 59,3581,4868,8449,284,528,812,3865,5396,9261,SALAMANCA / TODOS,01-01-2006,2006
60 - 64,3372,4524,7896,187,266,453,3559,4790,8349,SALAMANCA / TODOS,01-01-2006,2006
65 - 69,2587,4111,6698,136,186,322,2723,4297,7020,SALAMANCA / TODOS,01-01-2006,2006
70 - 74,2965,4719,7684,81,113,194,3046,4832,7878,SALAMANCA / TODOS,01-01-2006,2006
75 - 79,2605,4581,7186,69,93,162,2674,4674,7348,SALAMANCA / TODOS,01-01-2006,2006
80 - 84,1774,3882,5656,34,61,95,1808,3943,5751,SALAMANCA / TODOS,01-01-2006,2006
85 - 89,870,2574,3444,20,34,54,890,2608,3498,SALAMANCA / TODOS,01-01-2006,2006
90 - 94,403,1343,1746,11,29,40,414,1372,1786,SALAMANCA / TODOS,01-01-2006,2006
95 - 99,100,417,517,1,18,19,101,435,536,SALAMANCA / TODOS,01-01-2006,2006
100 o más,16,72,88,4,5,9,20,77,97,SALAMANCA / TODOS,01-01-2006,2006
No Consta,2,4,6,5,5,10,7,9,16,SALAMANCA / TODOS,01-01-2006,2006
Total,56651,68498,125149,7608,11106,18714,64259,79604,143863,CHAMARTIN / TODOS,01-01-2006,2006
0 - 4,2999,2788,5787,289,316,605,3288,3104,6392,CHAMARTIN / TODOS,01-01-2006,2006
5 - 9,2945,2625,5570,320,305,625,3265,2930,6195,CHAMARTIN / TODOS,01-01-2006,2006
10 - 14,2757,2658,5415,308,322,630,3065,2980,6045,CHAMARTIN / TODOS,01-01-2006,2006
15 - 19,2787,2612,5399,356,408,764,3143,3020,6163,CHAMARTIN / TODOS,01-01-2006,2006
20 - 24,3242,3135,6377,564,962,1526,3806,4097,7903,CHAMARTIN / TODOS,01-01-2006,2006
25 - 29,3946,3911,7857,1037,1718,2755,4983,5629,10612,CHAMARTIN / TODOS,01-01-2006,2006
30 - 34,4548,4722,9270,1229,1733,2962,5777,6455,12232,CHAMARTIN / TODOS,01-01-2006,2006
35 - 39,4271,4654,8925,1018,1453,2471,5289,6107,11396,CHAMARTIN / TODOS,01-01-2006,2006
40 - 44,4277,4985,9262,786,1066,1852,5063,6051,11114,CHAMARTIN / TODOS,01-01-2006,2006
45 - 49,3828,4856,8684,519,830,1349,4347,5686,10033,CHAMARTIN / TODOS,01-01-2006,2006
50 - 54,3672,4562,8234,355,623,978,4027,5185,9212,CHAMARTIN / TODOS,01-01-2006,2006
55 - 59,3502,4677,8179,247,427,674,3749,5104,8853,CHAMARTIN / TODOS,01-01-2006,2006
60 - 64,3253,4410,7663,169,310,479,3422,4720,8142,CHAMARTIN / TODOS,01-01-2006,2006
65 - 69,2690,3903,6593,154,186,340,2844,4089,6933,CHAMARTIN / TODOS,01-01-2006,2006
70 - 74,2709,4066,6775,91,140,231,2800,4206,7006,CHAMARTIN / TODOS,01-01-2006,2006
75 - 79,2412,3996,6408,75,118,193,2487,4114,6601,CHAMARTIN / TODOS,01-01-2006,2006
80 - 84,1687,3031,4718,37,77,114,1724,3108,4832,CHAMARTIN / TODOS,01-01-2006,2006
85 - 89,748,1796,2544,24,60,84,772,1856,2628,CHAMARTIN / TODOS,01-01-2006,2006
90 - 94,303,862,1165,14,27,41,317,889,1206,CHAMARTIN / TODOS,01-01-2006,2006
95 - 99,58,214,272,10,12,22,68,226,294,CHAMARTIN / TODOS,01-01-2006,2006
100 o más,14,34,48,2,5,7,16,39,55,CHAMARTIN / TODOS,01-01-2006,2006
No Consta,3,1,4,4,8,12,7,9,16,CHAMARTIN / TODOS,01-01-2006,2006
Total,54261,66587,120848,16475,17819,34294,70736,84406,155142,TETUAN / TODOS,01-01-2006,2006
0 - 4,2353,2316,4669,817,746,1563,3170,3062,6232,TETUAN / TODOS,01-01-2006,2006
5 - 9,2102,1932,4034,714,655,1369,2816,2587,5403,TETUAN / TODOS,01-01-2006,2006
10 - 14,2050,1876,3926,740,764,1504,2790,2640,5430,TETUAN / TODOS,01-01-2006,2006
15 - 19,2245,2223,4468,809,811,1620,3054,3034,6088,TETUAN / TODOS,01-01-2006,2006
20 - 24,2968,2989,5957,1490,1796,3286,4458,4785,9243,TETUAN / TODOS,01-01-2006,2006
25 - 29,4061,4151,8212,2742,3003,5745,6803,7154,13957,TETUAN / TODOS,01-01-2006,2006
30 - 34,5107,5107,10214,2796,2827,5623,7903,7934,15837,TETUAN / TODOS,01-01-2006,2006
35 - 39,4616,4654,9270,2287,2265,4552,6903,6919,13822,TETUAN / TODOS,01-01-2006,2006
40 - 44,4216,4891,9107,1640,1602,3242,5856,6493,12349,TETUAN / TODOS,01-01-2006,2006
45 - 49,3926,4759,8685,1001,1208,2209,4927,5967,10894,TETUAN / TODOS,01-01-2006,2006
50 - 54,3217,4145,7362,602,822,1424,3819,4967,8786,TETUAN / TODOS,01-01-2006,2006
55 - 59,3195,4144,7339,351,493,844,3546,4637,8183,TETUAN / TODOS,01-01-2006,2006
60 - 64,2877,3904,6781,169,312,481,3046,4216,7262,TETUAN / TODOS,01-01-2006,2006
65 - 69,2660,3689,6349,107,198,305,2767,3887,6654,TETUAN / TODOS,01-01-2006,2006
70 - 74,2903,4619,7522,105,141,246,3008,4760,7768,TETUAN / TODOS,01-01-2006,2006
75 - 79,2721,4509,7230,51,89,140,2772,4598,7370,TETUAN / TODOS,01-01-2006,2006
80 - 84,1802,3504,5306,29,46,75,1831,3550,5381,TETUAN / TODOS,01-01-2006,2006
85 - 89,854,1988,2842,10,23,33,864,2011,2875,TETUAN / TODOS,01-01-2006,2006
90 - 94,314,925,1239,6,10,16,320,935,1255,TETUAN / TODOS,01-01-2006,2006
95 - 99,66,229,295,0,3,3,66,232,298,TETUAN / TODOS,01-01-2006,2006
100 o más,8,30,38,2,1,3,10,31,41,TETUAN / TODOS,01-01-2006,2006
No Consta,0,3,3,7,4,11,7,7,14,TETUAN / TODOS,01-01-2006,2006
Total,55574,72704,128278,10736,13755,24491,66310,86459,152769,CHAMBERI / TODOS,01-01-2006,2006
0 - 4,2280,2246,4526,422,380,802,2702,2626,5328,CHAMBERI / TODOS,01-01-2006,2006
5 - 9,2184,2052,4236,367,380,747,2551,2432,4983,CHAMBERI / TODOS,01-01-2006,2006
10 - 14,2075,1941,4016,432,380,812,2507,2321,4828,CHAMBERI / TODOS,01-01-2006,2006
15 - 19,2359,2264,4623,460,502,962,2819,2766,5585,CHAMBERI / TODOS,01-01-2006,2006
20 - 24,3033,3268,6301,890,1238,2128,3923,4506,8429,CHAMBERI / TODOS,01-01-2006,2006
25 - 29,4513,4607,9120,1801,2453,4254,6314,7060,13374,CHAMBERI / TODOS,01-01-2006,2006
30 - 34,4939,5190,10129,1966,2312,4278,6905,7502,14407,CHAMBERI / TODOS,01-01-2006,2006
35 - 39,4335,4573,8908,1505,1735,3240,5840,6308,12148,CHAMBERI / TODOS,01-01-2006,2006
40 - 44,4097,4788,8885,1005,1309,2314,5102,6097,11199,CHAMBERI / TODOS,01-01-2006,2006
45 - 49,3934,4901,8835,698,1043,1741,4632,5944,10576,CHAMBERI / TODOS,01-01-2006,2006
50 - 54,3683,4979,8662,436,723,1159,4119,5702,9821,CHAMBERI / TODOS,01-01-2006,2006
55 - 59,3733,4865,8598,269,486,755,4002,5351,9353,CHAMBERI / TODOS,01-01-2006,2006
60 - 64,3254,4632,7886,172,288,460,3426,4920,8346,CHAMBERI / TODOS,01-01-2006,2006
65 - 69,2566,3957,6523,101,159,260,2667,4116,6783,CHAMBERI / TODOS,01-01-2006,2006
70 - 74,2705,4579,7284,72,134,206,2777,4713,7490,CHAMBERI / TODOS,01-01-2006,2006
75 - 79,2491,4801,7292,44,91,135,2535,4892,7427,CHAMBERI / TODOS,01-01-2006,2006
80 - 84,1858,4321,6179,44,67,111,1902,4388,6290,CHAMBERI / TODOS,01-01-2006,2006
85 - 89,975,2817,3792,23,31,54,998,2848,3846,CHAMBERI / TODOS,01-01-2006,2006
90 - 94,454,1432,1886,18,29,47,472,1461,1933,CHAMBERI / TODOS,01-01-2006,2006
95 - 99,89,423,512,5,8,13,94,431,525,CHAMBERI / TODOS,01-01-2006,2006
100 o más,14,66,80,0,1,1,14,67,81,CHAMBERI / TODOS,01-01-2006,2006
No Consta,3,2,5,6,6,12,9,8,17,CHAMBERI / TODOS,01-01-2006,2006
Total,89988,100059,190047,9864,11466,21330,99852,111525,211377,FUENCARRAL-EL PARDO / TODOS,01-01-2006,2006
0 - 4,4178,3955,8133,435,449,884,4613,4404,9017,FUENCARRAL-EL PARDO / TODOS,01-01-2006,2006
5 - 9,4087,3981,8068,527,443,970,4614,4424,9038,FUENCARRAL-EL PARDO / TODOS,01-01-2006,2006
10 - 14,4167,3985,8152,590,529,1119,4757,4514,9271,FUENCARRAL-EL PARDO / TODOS,01-01-2006,2006
15 - 19,4780,4515,9295,587,552,1139,5367,5067,10434,FUENCARRAL-EL PARDO / TODOS,01-01-2006,2006
20 - 24,5951,5890,11841,852,1054,1906,6803,6944,13747,FUENCARRAL-EL PARDO / TODOS,01-01-2006,2006
25 - 29,7884,7388,15272,1372,1766,3138,9256,9154,18410,FUENCARRAL-EL PARDO / TODOS,01-01-2006,2006
30 - 34,7661,7430,15091,1515,1629,3144,9176,9059,18235,FUENCARRAL-EL PARDO / TODOS,01-01-2006,2006
35 - 39,6373,6654,13027,1225,1451,2676,7598,8105,15703,FUENCARRAL-EL PARDO / TODOS,01-01-2006,2006
40 - 44,6332,7053,13385,979,1128,2107,7311,8181,15492,FUENCARRAL-EL PARDO / TODOS,01-01-2006,2006
45 - 49,5991,7164,13155,659,846,1505,6650,8010,14660,FUENCARRAL-EL PARDO / TODOS,01-01-2006,2006
50 - 54,5734,7128,12862,410,573,983,6144,7701,13845,FUENCARRAL-EL PARDO / TODOS,01-01-2006,2006
55 - 59,6567,7949,14516,258,372,630,6825,8321,15146,FUENCARRAL-EL PARDO / TODOS,01-01-2006,2006
60 - 64,5998,6646,12644,148,198,346,6146,6844,12990,FUENCARRAL-EL PARDO / TODOS,01-01-2006,2006
65 - 69,4604,5324,9928,112,169,281,4716,5493,10209,FUENCARRAL-EL PARDO / TODOS,01-01-2006,2006
70 - 74,4011,4993,9004,84,126,210,4095,5119,9214,FUENCARRAL-EL PARDO / TODOS,01-01-2006,2006
75 - 79,2835,4052,6887,56,79,135,2891,4131,7022,FUENCARRAL-EL PARDO / TODOS,01-01-2006,2006
80 - 84,1764,3021,4785,26,51,77,1790,3072,4862,FUENCARRAL-EL PARDO / TODOS,01-01-2006,2006
85 - 89,736,1782,2518,11,23,34,747,1805,2552,FUENCARRAL-EL PARDO / TODOS,01-01-2006,2006
90 - 94,263,853,1116,7,17,24,270,870,1140,FUENCARRAL-EL PARDO / TODOS,01-01-2006,2006
95 - 99,63,242,305,1,3,4,64,245,309,FUENCARRAL-EL PARDO / TODOS,01-01-2006,2006
100 o más,5,52,57,1,1,2,6,53,59,FUENCARRAL-EL PARDO / TODOS,01-01-2006,2006
No Consta,4,2,6,9,7,16,13,9,22,FUENCARRAL-EL PARDO / TODOS,01-01-2006,2006
Total,48061,55789,103850,7377,9464,16841,55438,65253,120691,MONCLOA-ARAVACA / TODOS,01-01-2006,2006
0 - 4,2652,2512,5164,289,266,555,2941,2778,5719,MONCLOA-ARAVACA / TODOS,01-01-2006,2006
5 - 9,2415,2523,4938,275,324,599,2690,2847,5537,MONCLOA-ARAVACA / TODOS,01-01-2006,2006
10 - 14,2234,2173,4407,293,324,617,2527,2497,5024,MONCLOA-ARAVACA / TODOS,01-01-2006,2006
15 - 19,2209,2215,4424,301,341,642,2510,2556,5066,MONCLOA-ARAVACA / TODOS,01-01-2006,2006
20 - 24,2822,2819,5641,632,870,1502,3454,3689,7143,MONCLOA-ARAVACA / TODOS,01-01-2006,2006
25 - 29,3535,3515,7050,1162,1568,2730,4697,5083,9780,MONCLOA-ARAVACA / TODOS,01-01-2006,2006
30 - 34,3834,3785,7619,1241,1488,2729,5075,5273,10348,MONCLOA-ARAVACA / TODOS,01-01-2006,2006
35 - 39,3815,4076,7891,1040,1210,2250,4855,5286,10141,MONCLOA-ARAVACA / TODOS,01-01-2006,2006
40 - 44,3939,4168,8107,813,934,1747,4752,5102,9854,MONCLOA-ARAVACA / TODOS,01-01-2006,2006
45 - 49,3572,3971,7543,542,779,1321,4114,4750,8864,MONCLOA-ARAVACA / TODOS,01-01-2006,2006
50 - 54,3123,3696,6819,324,509,833,3447,4205,7652,MONCLOA-ARAVACA / TODOS,01-01-2006,2006
55 - 59,3100,3757,6857,180,343,523,3280,4100,7380,MONCLOA-ARAVACA / TODOS,01-01-2006,2006
60 - 64,2673,3276,5949,103,178,281,2776,3454,6230,MONCLOA-ARAVACA / TODOS,01-01-2006,2006
65 - 69,2169,2850,5019,69,104,173,2238,2954,5192,MONCLOA-ARAVACA / TODOS,01-01-2006,2006
70 - 74,2219,3071,5290,50,74,124,2269,3145,5414,MONCLOA-ARAVACA / TODOS,01-01-2006,2006
75 - 79,1747,2812,4559,28,52,80,1775,2864,4639,MONCLOA-ARAVACA / TODOS,01-01-2006,2006
80 - 84,1130,2275,3405,14,39,53,1144,2314,3458,MONCLOA-ARAVACA / TODOS,01-01-2006,2006
85 - 89,580,1389,1969,12,30,42,592,1419,2011,MONCLOA-ARAVACA / TODOS,01-01-2006,2006
90 - 94,224,674,898,2,13,15,226,687,913,MONCLOA-ARAVACA / TODOS,01-01-2006,2006
95 - 99,57,211,268,2,5,7,59,216,275,MONCLOA-ARAVACA / TODOS,01-01-2006,2006
100 o más,9,18,27,1,1,2,10,19,29,MONCLOA-ARAVACA / TODOS,01-01-2006,2006
No Consta,3,3,6,4,12,16,7,15,22,MONCLOA-ARAVACA / TODOS,01-01-2006,2006
Total,102361,114949,217310,22716,21667,44383,125077,136616,261693,LATINA / TODOS,01-01-2006,2006
0 - 4,4219,4067,8286,1010,965,1975,5229,5032,10261,LATINA / TODOS,01-01-2006,2006
5 - 9,3826,3582,7408,988,922,1910,4814,4504,9318,LATINA / TODOS,01-01-2006,2006
10 - 14,3650,3589,7239,1051,983,2034,4701,4572,9273,LATINA / TODOS,01-01-2006,2006
15 - 19,4332,4037,8369,1132,1204,2336,5464,5241,10705,LATINA / TODOS,01-01-2006,2006
