district,year,age_range,spanish_men,spanish_women,spanish_total,foreign_total,total,spanish_men_ref,spanish_women_ref,spanish_total_ref,foreign_total_ref,total_ref,spanish_men_ratio,spanish_women_ratio,spanish_total_ratio,foreign_total_ratio,total_ratio
Arganzuela,2015,0-24,8219,7896,16115,1945,18060,8575,8250,16825,5114,21939,0.9584839650145772,0.9570909090909091,0.9578008915304607,0.3803285099726242,0.823191576644332
Arganzuela,2016,0-24,8348,8020,16368,1921,18289,8575,8250,16825,5114,21939,0.9735276967930029,0.9721212121212122,0.9728380386329867,0.37563551036370746,0.833629609371439
Arganzuela,2017,0-24,8363,8065,16428,1783,18211,8575,8250,16825,5114,21939,0.9752769679300292,0.9775757575757575,0.976404160475483,0.34865076261243644,0.8300742969141711
Arganzuela,2004,25-39,14493,15016,29509,10750,40259,14493,15016,29509,10750,40259,1.0,1.0,1.0,1.0,1.0
Arganzuela,2005,25-39,14256,14730,28986,11626,40612,14493,15016,29509,10750,40259,0.983647277996274,0.9809536494405967,0.9822765935816191,1.0814883720930233,1.0087682257383441
Arganzuela,2006,25-39,13993,14444,28437,12467,40904,14493,15016,29509,10750,40259,0.9655005864900297,0.9619072988811934,0.9636721000372768,1.1597209302325582,1.0160212623264364
Arganzuela,2007,25-39,14135,14487,28622,11182,39804,14493,15016,29509,10750,40259,0.9752984199268613,0.9647709110282365,0.9699413738181571,1.040186046511628,0.9886981792891031
Arganzuela,2008,25-39,14672,14971,29643,11959,41602,14493,15016,29509,10750,40259,1.0123507900365694,0.9970031965903037,1.0045409874953404,1.1124651162790697,1.0333590004719442
Arganzuela,2009,25-39,14638,14938,29576,12316,41892,14493,15016,29509,10750,40259,1.0100048299178914,0.9948055407565264,1.0022704937476703,1.1456744186046512,1.040562358727241
Arganzuela,2010,25-39,14699,15044,29743,11951,41694,14493,15016,29509,10750,40259,1.0142137583661077,1.0018646776771445,1.007929784133654,1.1117209302325581,1.0356442037805211
Arganzuela,2011,25-39,14724,15091,29815,11510,41325,14493,15016,29509,10750,40259,1.0159387290416062,1.0049946723494938,1.01036971771324,1.0706976744186048,1.0264785513798156
Arganzuela,2012,25-39,14631,15089,29720,10233,39953,14493,15016,29509,10750,40259,1.0095218381287518,1.0048614810868408,1.007150360906842,0.951906976744186,0.9923992150823419
Arganzuela,2013,25-39,14817,15076,29893,9438,39331,14493,15016,29509,10750,40259,1.0223556199544608,1.0039957378795952,1.0130129790911246,0.877953488372093,0.9769492535830497
Arganzuela,2014,25-39,14424,14859,29283,7954,37237,14493,15016,29509,10750,40259,0.9952390809356241,0.9895444858817262,0.992341319597411,0.739906976744186,0.9249360391465262
Arganzuela,2015,25-39,14099,14647,28746,6790,35536,14493,15016,29509,10750,40259,0.9728144621541434,0.9754262120404902,0.9741434816496662,0.6316279069767442,0.88268461710425
Arganzuela,2016,25-39,14189,14655,28844,6676,35520,14493,15016,29509,10750,40259,0.979024356585938,0.9759589770911028,0.9774645023552136,0.6210232558139535,0.8822871904418887
Arganzuela,2017,25-39,14144,14498,28642,6470,35112,14493,15016,29509,10750,40259,0.9759194093700407,0.965503462972829,0.9706191331458199,0.6018604651162791,0.8721528105516779
Arganzuela,2004,40-64,19195,22860,42055,4818,46873,19195,22860,42055,4818,46873,1.0,1.0,1.0,1.0,1.0
Arganzuela,2005,40-64,19849,23559,43408,5472,48880,19195,22860,42055,4818,46873,1.0340713727533213,1.0305774278215223,1.032172155510641,1.1357409713574098,1.0428178268939474
Arganzuela,2006,40-64,20232,23879,44111,6269,50380,19195,22860,42055,4818,46873,1.0540244855431102,1.0445756780402449,1.0488883604803234,1.301162308011623,1.0748191922855375
Arganzuela,2007,40-64,21286,24778,46064,5892,51956,19195,22860,42055,4818,46873,1.1089346183902058,1.083902012248469,1.0953275472595412,1.2229140722291407,1.1084419601903015
Arganzuela,2008,40-64,21699,25202,46901,5934,52835,19195,22860,42055,4818,46873,1.1304506381870278,1.1024496937882764,1.1152300558792059,1.2316313823163139,1.1271947603097732
Arganzuela,2009,40-64,22255,25696,47951,6294,54245,19195,22860,42055,4818,46873,1.1594165147173743,1.1240594925634295,1.1401973605992153,1.3063511830635117,1.1572760437778677
Arganzuela,2010,40-64,22695,26189,48884,6312,55196,19195,22860,42055,4818,46873,1.182339150820526,1.1456255468066492,1.1623825942218524,1.3100871731008716,1.177564909436136
Arganzuela,2011,40-64,23113,26534,49647,6314,55961,19195,22860,42055,4818,46873,1.2041156551185204,1.1607174103237095,1.1805255023183925,1.3105022831050228,1.193885605785847
Arganzuela,2012,40-64,23543,27023,50566,5771,56337,19195,22860,42055,4818,46873,1.226517322219328,1.182108486439195,1.2023778385447628,1.1977999169779991,1.2019072813773388
Arganzuela,2013,40-64,23921,27486,51407,5489,56896,19195,22860,42055,4818,46873,1.2462099505079447,1.2023622047244094,1.222375460706218,1.139269406392694,1.2138331235466047
Arganzuela,2014,40-64,24117,27561,51678,4952,56630,19195,22860,42055,4818,46873,1.2564209429538942,1.2056430446194226,1.2288194031625252,1.0278123702781237,1.2081582147504961
